Date,Timepoint,Treatment,Rep,Plated,Count,Dilution,Titer,Status,Notes
20211117,1,Cocktail,1,Phage_Lminus,12,3,6.00E+06,Good,
20211117,1,Cocktail,2,Phage_Lminus,5,4,2.50E+07,Good,
20211117,1,Cocktail,3,Phage_Lminus,21,3,1.05E+07,Good,
20211117,1,Cocktail,4,Phage_Lminus,7,4,3.50E+07,Good,
20211117,1,Cocktail,5,Phage_Lminus,10,4,5.00E+07,Good,
20211117,1,Cocktail,6,Phage_Lminus,13,3,6.50E+06,Good,
20211117,1,2811,1,Phage_Ominus,12,4,6.00E+07,Good,
20211117,1,2811,2,Phage_Ominus,3,4,1.50E+07,Good,
20211117,1,2811,3,Phage_Ominus,6,4,3.00E+07,Good,
20211117,1,2811,4,Phage_Ominus,7,4,3.50E+07,Good,
20211117,1,2811,5,Phage_Ominus,34,4,1.70E+08,Good,
20211117,1,2811,6,Phage_Ominus,20,4,1.00E+08,Good,
20211117,1,Cocktail,1,Phage_Ominus,15,4,7.50E+07,Good,
20211117,1,Cocktail,2,Phage_Ominus,29,5,1.45E+09,Good,
20211117,1,Cocktail,3,Phage_Ominus,7,4,3.50E+07,Good,
20211117,1,Cocktail,4,Phage_Ominus,9,4,4.50E+07,Good,
20211117,1,Cocktail,5,Phage_Ominus,14,4,7.00E+07,Good,
20211117,1,Cocktail,6,Phage_Ominus,16,3,8.00E+06,Good,
20211118,2,2811,1,Bacteria,11,2,1.10E+04,Good,
20211118,2,2811,2,Bacteria,19,0,1.90E+02,Good,
20211118,2,2811,3,Bacteria,258,0,2.58E+03,Good,
20211118,2,2811,4,Bacteria,25,2,2.50E+04,Good,
20211118,2,2811,5,Bacteria,0,0,0.00E+00,Good,
20211118,2,2811,6,Bacteria,81,0,8.10E+02,Good,
20211118,2,Cocktail,1,Bacteria,55,5,5.50E+07,Good,
20211118,2,Cocktail,2,Bacteria,5,3,5.00E+04,Good,
20211118,2,Cocktail,3,Bacteria,59,2,5.90E+04,Good,
20211118,2,Cocktail,4,Bacteria,58,2,5.80E+04,Good,
20211118,2,Cocktail,5,Bacteria,114,2,1.14E+05,Good,
20211118,2,Cocktail,6,Bacteria,116,4,1.16E+07,Good,
20211118,2,2811,1,Phage_606,18,0,9.00E+03,Good,
20211118,2,2811,2,Phage_606,5,3,2.50E+06,Good,
20211118,2,2811,3,Phage_606,25,2,1.25E+06,Good,
20211118,2,2811,4,Phage_606,32,3,1.60E+07,Good,
20211118,2,2811,5,Phage_606,29,0,1.45E+04,Good,
20211118,2,2811,6,Phage_606,12,3,6.00E+06,Good,
20211118,2,Cocktail,1,Phage_606,5,4,2.50E+07,Good,
20211118,2,Cocktail,2,Phage_606,10,5,5.00E+08,Good,
20211118,2,Cocktail,3,Phage_606,2,4,1.00E+07,Good,
20211118,2,Cocktail,4,Phage_606,5,3,2.50E+06,Good,
20211118,2,Cocktail,5,Phage_606,11,3,5.50E+06,Good,
20211118,2,Cocktail,6,Phage_606,4,4,2.00E+07,Good,
20211118,2,2811,1,Phage_Lminus,31,0,1.55E+04,Good,
20211118,2,2811,2,Phage_Lminus,36,2,1.80E+06,Good,
20211118,2,2811,3,Phage_Lminus,6,3,3.00E+06,Good,
20211118,2,2811,4,Phage_Lminus,16,3,8.00E+06,Good,
20211118,2,2811,5,Phage_Lminus,7,0,3.50E+03,Good,
20211118,2,2811,6,Phage_Lminus,11,3,5.50E+06,Good,
20211118,2,Cocktail,1,Phage_Lminus,10,4,5.00E+07,Good,
20211118,2,Cocktail,2,Phage_Lminus,51,4,2.55E+08,Good,
20211118,2,Cocktail,3,Phage_Lminus,11,3,5.50E+06,Good,
20211118,2,Cocktail,4,Phage_Lminus,7,3,3.50E+06,Good,
20211118,2,Cocktail,5,Phage_Lminus,13,3,6.50E+06,Good,
20211118,2,Cocktail,6,Phage_Lminus,6,4,3.00E+07,Good,
20211118,2,2811,1,Phage_Ominus,23,0,1.15E+04,Good,
20211118,2,2811,2,Phage_Ominus,14,3,7.00E+06,Good,
20211118,2,2811,3,Phage_Ominus,34,2,1.70E+06,Good,
20211118,2,2811,4,Phage_Ominus,38,3,1.90E+07,Good,
20211118,2,2811,5,Phage_Ominus,5,1,2.50E+04,Good,
20211118,2,2811,6,Phage_Ominus,29,3,1.45E+07,Good,
20211118,2,Cocktail,1,Phage_Ominus,31,3,1.55E+07,Good,
20211118,2,Cocktail,2,Phage_Ominus,18,5,9.00E+08,Good,
20211118,2,Cocktail,3,Phage_Ominus,33,3,1.65E+07,Good,
20211118,2,Cocktail,4,Phage_Ominus,15,3,7.50E+06,Good,
20211118,2,Cocktail,5,Phage_Ominus,20,3,1.00E+07,Good,
20211118,2,Cocktail,6,Phage_Ominus,16,3,8.00E+06,Good,
20211119,3,2811,1,Bacteria,7,0,7.00E+01,Good,
20211119,3,2811,2,Bacteria,8,2,8.00E+03,Good,
20211119,3,2811,3,Bacteria,71,0,7.10E+02,Good,
20211119,3,2811,4,Bacteria,234,0,2.34E+03,Good,
