Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer
20210328,L+O,4,0,Phage_Ominus,50,2,2.50E+06
20210328,L+O,5,0,Phage_Ominus,35,2,1.75E+06
20210328,L+O,6,0,Phage_Ominus,39,2,1.95E+06
20210328,2811,1,0,Phage_Ominus,21,2,1.05E+06
20210328,2811,2,0,Phage_Ominus,18,2,9.00E+05
20210328,2811,3,0,Phage_Ominus,25,2,1.25E+06
20210328,2811,4,0,Phage_Ominus,19,2,9.50E+05
20210328,2811,5,0,Phage_Ominus,21,2,1.05E+06
20210328,2811,6,0,Phage_Ominus,22,2,1.10E+06
20210329,cI26,1,1,Bacteria,11144,1,1.11E+06
20210329,cI26,2,1,Bacteria,28,6,2.80E+08
20210329,cI26,3,1,Bacteria,1,6,1.00E+07
20210329,EvoC,1,1,Bacteria,66,1,6.60E+03
20210329,EvoC,2,1,Bacteria,2352,1,2.35E+05
20210329,EvoC,3,1,Bacteria,4312,1,4.31E+05
20210329,LamB Spec,1,1,Bacteria,3,6,3.00E+07
20210329,LamB Spec,2,1,Bacteria,0,5,NA
20210329,LamB Spec,3,1,Bacteria,0,4,NA
20210329,OmpF Spec,1,1,Bacteria,0,4,NA
20210329,OmpF Spec,2,1,Bacteria,76,1,7.60E+03
20210329,OmpF Spec,3,1,Bacteria,208,1,2.08E+04
20210329,L+O,1,1,Bacteria,3,1,3.00E+02
20210329,L+O,2,1,Bacteria,484,1,4.84E+04
20210329,L+O,3,1,Bacteria,190,1,1.90E+04
20210329,L+O,4,1,Bacteria,368,1,3.68E+04
20210329,L+O,5,1,Bacteria,3,1,3.00E+02
20210329,L+O,6,1,Bacteria,4,1,4.00E+02
20210329,2811,1,1,Bacteria,1,1,1.00E+02
20210329,2811,2,1,Bacteria,1,1,1.00E+02
20210329,2811,3,1,Bacteria,7,1,7.00E+02
20210329,2811,4,1,Bacteria,1,1,1.00E+02
20210329,2811,5,1,Bacteria,1,1,1.00E+02
20210329,2811,6,1,Bacteria,0,1,0.00E+00
20210329,cI26,1,1,Phage_606,2,5,2.00E+06
20210329,cI26,2,1,Phage_606,7,6,3.50E+09
20210329,cI26,3,1,Phage_606,19,6,9.50E+09
20210329,EvoC,1,1,Phage_606,2,2,1.00E+05
20210329,EvoC,2,1,Phage_606,9,3,4.50E+06
20210329,EvoC,3,1,Phage_606,7,2,3.50E+05
20210329,LamB Spec,1,1,Phage_606,18,6,9.00E+09
20210329,LamB Spec,2,1,Phage_606,16,6,8.00E+09
20210329,LamB Spec,3,1,Phage_606,17,6,8.50E+09
20210329,OmpF Spec,1,1,Phage_606,5,5,2.50E+08
20210329,OmpF Spec,2,1,Phage_606,26,2,1.30E+06
20210329,OmpF Spec,3,1,Phage_606,14,2,7.00E+05
20210329,L+O,1,1,Phage_606,8,4,4.00E+07
20210329,L+O,2,1,Phage_606,7,4,3.50E+07
20210329,L+O,3,1,Phage_606,5,3,2.50E+06
20210329,L+O,4,1,Phage_606,4,3,2.00E+06
20210329,L+O,5,1,Phage_606,18,3,9.00E+06
20210329,L+O,6,1,Phage_606,11,4,5.50E+07
20210329,2811,1,1,Phage_606,31,4,1.55E+08
20210329,2811,2,1,Phage_606,27,4,1.35E+08
20210329,2811,3,1,Phage_606,19,4,9.50E+07
20210329,2811,4,1,Phage_606,26,4,1.30E+08
20210329,2811,5,1,Phage_606,23,4,1.15E+08
20210329,2811,6,1,Phage_606,4,3,2.00E+06
20210329,cI26,1,1,Phage_Lminus,0,1,0.00E+00
20210329,cI26,2,1,Phage_Lminus,0,1,0.00E+00
20210329,cI26,3,1,Phage_Lminus,0,1,0.00E+00
20210329,EvoC,1,1,Phage_Lminus,3,2,1.50E+05
20210329,EvoC,2,1,Phage_Lminus,17,3,8.50E+06
20210329,EvoC,3,1,Phage_Lminus,9,2,4.50E+05
20210329,LamB Spec,1,1,Phage_Lminus,10,4,5.00E+07
20210329,LamB Spec,2,1,Phage_Lminus,5,5,2.50E+08
20210329,LamB Spec,3,1,Phage_Lminus,14,4,7.00E+07
20210329,OmpF Spec,1,1,Phage_Lminus,6,5,3.00E+08
20210329,OmpF Spec,2,1,Phage_Lminus,4,3,2.00E+06
20210329,OmpF Spec,3,1,Phage_Lminus,4,3,2.00E+06
20210329,L+O,1,1,Phage_Lminus,5,3,2.50E+06
20210329,L+O,2,1,Phage_Lminus,7,3,3.50E+06
20210329,L+O,3,1,Phage_Lminus,4,3,2.00E+06
20210329,L+O,4,1,Phage_Lminus,20,2,1.00E+06
20210329,L+O,5,1,Phage_Lminus,5,3,2.50E+06
20210329,L+O,6,1,Phage_Lminus,13,3,6.50E+06
20210329,2811,1,1,Phage_Lminus,18,3,9.00E+06
20210329,2811,2,1,Phage_Lminus,22,3,1.10E+07
20210329,2811,3,1,Phage_Lminus,5,3,2.50E+06
20210329,2811,4,1,Phage_Lminus,11,3,5.50E+06
20210329,2811,5,1,Phage_Lminus,17,3,8.50E+06
20210329,2811,6,1,Phage_Lminus,15,2,7.50E+05
20210329,cI26,1,1,Phage_Ominus,6,5,3.00E+08
20210329,cI26,2,1,Phage_Ominus,7,6,3.50E+09
20210329,cI26,3,1,Phage_Ominus,29,6,1.45E+10
20210329,EvoC,1,1,Phage_Ominus,8,2,4.00E+05
20210329,EvoC,2,1,Phage_Ominus,23,3,1.15E+07
20210329,EvoC,3,1,Phage_Ominus,9,2,4.50E+05
20210329,LamB Spec,1,1,Phage_Ominus,37,6,1.85E+10
20210329,LamB Spec,2,1,Phage_Ominus,43,6,2.15E+10
20210329,LamB Spec,3,1,Phage_Ominus,49,6,2.45E+10
20210329,OmpF Spec,1,1,Phage_Ominus,0,1,0.00E+00
20210329,OmpF Spec,2,1,Phage_Ominus,0,1,0.00E+00
20210329,OmpF Spec,3,1,Phage_Ominus,4,2,2.00E+05
20210329,L+O,1,1,Phage_Ominus,17,4,8.50E+07
20210329,L+O,2,1,Phage_Ominus,16,5,8.00E+08
20210329,L+O,3,1,Phage_Ominus,24,2,1.20E+06
20210329,L+O,4,1,Phage_Ominus,31,2,1.55E+06
20210329,L+O,5,1,Phage_Ominus,6,4,3.00E+07
20210329,L+O,6,1,Phage_Ominus,18,4,9.00E+07
20210329,2811,1,1,Phage_Ominus,6,5,3.00E+08
20210329,2811,2,1,Phage_Ominus,5,5,2.50E+08
20210329,2811,3,1,Phage_Ominus,31,4,1.55E+08
20210329,2811,4,1,Phage_Ominus,5,5,2.50E+08
20210329,2811,5,1,Phage_Ominus,6,5,3.00E+08
20210329,2811,6,1,Phage_Ominus,5,3,2.50E+06
20210330,cI26,1,2,Bacteria,62,6,6.20E+08
20210330,cI26,2,2,Bacteria,91,6,9.10E+08
20210330,cI26,3,2,Bacteria,81,6,8.10E+08
20210330,EvoC,1,2,Bacteria,5,2,5.00E+03
20210330,EvoC,2,2,Bacteria,864,2,8.64E+05
20210330,EvoC,3,2,Bacteria,3864,2,3.86E+06
20210330,LamB Spec,1,2,Bacteria,6500,3,6.50E+07
20210330,LamB Spec,2,2,Bacteria,7000,3,7.00E+07
20210330,LamB Spec,3,2,Bacteria,8000,3,8.00E+07
20210330,OmpF Spec,1,2,Bacteria,2408,1,2.41E+05
20210330,OmpF Spec,2,2,Bacteria,41,1,4.10E+03
20210330,OmpF Spec,3,2,Bacteria,134,1,1.34E+04
20210330,L+O,1,2,Bacteria,1,1,1.00E+02
20210330,L+O,2,2,Bacteria,2,1,2.00E+02
20210330,L+O,3,2,Bacteria,8,1,8.00E+02
20210330,L+O,4,2,Bacteria,4872,1,4.87E+05
20210330,L+O,5,2,Bacteria,21,1,2.10E+03
20210330,L+O,6,2,Bacteria,3,1,3.00E+02
20210330,2811,1,2,Bacteria,0,1,0.00E+00
20210330,2811,2,2,Bacteria,0,1,0.00E+00
20210330,2811,3,2,Bacteria,0,1,0.00E+00
20210330,2811,4,2,Bacteria,0,1,0.00E+00
20210330,2811,5,2,Bacteria,0,1,0.00E+00
20210330,2811,6,2,Bacteria,0,1,0.00E+00
20210330,cI26,1,2,Phage_606,14,6,7.00E+09
20210330,cI26,2,2,Phage_606,6,6,3.00E+09
20210330,cI26,3,2,Phage_606,6,6,3.00E+09
20210330,EvoC,1,2,Phage_606,47,2,2.35E+06
20210330,EvoC,2,2,Phage_606,30,2,1.50E+06
20210330,EvoC,3,2,Phage_606,54,2,2.70E+06
20210330,LamB Spec,1,2,Phage_606,8,6,4.00E+09
20210330,LamB Spec,2,2,Phage_606,15,6,7.50E+09
20210330,LamB Spec,3,2,Phage_606,7,6,3.50E+09
20210330,OmpF Spec,1,2,Phage_606,36,3,1.80E+07
20210330,OmpF Spec,2,2,Phage_606,6,3,3.00E+06
20210330,OmpF Spec,3,2,Phage_606,16,3,8.00E+06
20210330,L+O,1,2,Phage_606,1,1,5.00E+03
20210330,L+O,2,2,Phage_606,22,2,1.10E+06
20210330,L+O,3,2,Phage_606,5,4,2.50E+07
20210330,L+O,4,2,Phage_606,5,3,2.50E+06
20210330,L+O,5,2,Phage_606,22,3,1.10E+07
20210330,L+O,6,2,Phage_606,26,3,1.30E+07
20210330,2811,1,2,Phage_606,0,1,0.00E+00
20210330,2811,2,2,Phage_606,2,1,1.00E+04
20210330,2811,3,2,Phage_606,52,3,2.60E+07
20210330,2811,4,2,Phage_606,6,1,3.00E+04
20210330,2811,5,2,Phage_606,11,4,5.50E+07
20210330,2811,6,2,Phage_606,0,1,0.00E+00
20210330,cI26,1,2,Phage_Lminus,0,1,0.00E+00
20210330,cI26,2,2,Phage_Lminus,0,1,0.00E+00
20210330,cI26,3,2,Phage_Lminus,0,1,0.00E+00
20210330,EvoC,1,2,Phage_Lminus,10,3,5.00E+06
20210330,EvoC,2,2,Phage_Lminus,2,3,1.00E+06
20210330,EvoC,3,2,Phage_Lminus,9,3,4.50E+06
20210330,LamB Spec,1,2,Phage_Lminus,18,4,9.00E+07
20210330,LamB Spec,2,2,Phage_Lminus,15,4,7.50E+07
20210330,LamB Spec,3,2,Phage_Lminus,5,4,2.50E+07
20210330,OmpF Spec,1,2,Phage_Lminus,9,4,4.50E+07
20210330,OmpF Spec,2,2,Phage_Lminus,3,3,1.50E+06
20210330,OmpF Spec,3,2,Phage_Lminus,11,3,5.50E+06
20210330,L+O,1,2,Phage_Lminus,0,1,0.00E+00
20210330,L+O,2,2,Phage_Lminus,13,2,6.50E+05
20210330,L+O,3,2,Phage_Lminus,5,4,2.50E+07
20210330,L+O,4,2,Phage_Lminus,8,3,4.00E+06
20210330,L+O,5,2,Phage_Lminus,5,4,2.50E+07
20210330,L+O,6,2,Phage_Lminus,4,4,2.00E+07
20210330,2811,1,2,Phage_Lminus,0,1,0.00E+00
20210330,2811,2,2,Phage_Lminus,0,1,0.00E+00
20210330,2811,3,2,Phage_Lminus,11,4,5.50E+07
20210330,2811,4,2,Phage_Lminus,1,1,5.00E+03
20210330,2811,5,2,Phage_Lminus,14,4,7.00E+07
20210330,2811,6,2,Phage_Lminus,0,1,0.00E+00
20210330,cI26,1,2,Phage_Ominus,10,6,5.00E+09
20210330,cI26,2,2,Phage_Ominus,8,6,4.00E+09
20210330,cI26,3,2,Phage_Ominus,4,6,2.00E+09
20210330,EvoC,1,2,Phage_Ominus,16,3,8.00E+06
20210330,EvoC,2,2,Phage_Ominus,4,3,2.00E+06
20210330,EvoC,3,2,Phage_Ominus,15,3,7.50E+06
20210330,LamB Spec,1,2,Phage_Ominus,5,6,2.50E+09
20210330,LamB Spec,2,2,Phage_Ominus,35,6,1.75E+10
20210330,LamB Spec,3,2,Phage_Ominus,9,6,4.50E+09
20210330,OmpF Spec,1,2,Phage_Ominus,18,1,9.00E+04
20210330,OmpF Spec,2,2,Phage_Ominus,0,1,0.00E+00
20210330,OmpF Spec,3,2,Phage_Ominus,0,1,0.00E+00
20210330,L+O,1,2,Phage_Ominus,0,1,0.00E+00
20210330,L+O,2,2,Phage_Ominus,43,1,2.15E+05
20210330,L+O,3,2,Phage_Ominus,13,3,6.50E+06
20210330,L+O,4,2,Phage_Ominus,3,1,1.50E+04
20210330,L+O,5,2,Phage_Ominus,4,1,2.00E+04
20210330,L+O,6,2,Phage_Ominus,12,2,6.00E+05
20210330,2811,1,2,Phage_Ominus,2,1,1.00E+04
20210330,2811,2,2,Phage_Ominus,4,1,2.00E+04
20210330,2811,3,2,Phage_Ominus,12,4,6.00E+07
20210330,2811,4,2,Phage_Ominus,5,1,2.50E+04
20210330,2811,5,2,Phage_Ominus,22,4,1.10E+08
20210330,2811,6,2,Phage_Ominus,0,1,0.00E+00
20210331,cI26,1,3,Bacteria,77,6,7.70E+08
20210331,cI26,2,3,Bacteria,32,6,3.20E+08
20210331,cI26,3,3,Bacteria,120,6,1.20E+09
20210331,EvoC,1,3,Bacteria,119,3,1.19E+06
20210331,EvoC,2,3,Bacteria,748,2,7.48E+05
20210331,EvoC,3,3,Bacteria,145,6,1.45E+09
20210331,LamB Spec,1,3,Bacteria,980,3,9.80E+06
20210331,LamB Spec,2,3,Bacteria,41,6,4.10E+08
20210331,LamB Spec,3,3,Bacteria,28,4,2.80E+06
20210331,OmpF Spec,1,3,Bacteria,257,2,2.57E+05
20210331,OmpF Spec,2,3,Bacteria,17,2,1.70E+04
20210331,OmpF Spec,3,3,Bacteria,1,4,1.00E+05
20210331,L+O,1,3,Bacteria,8120,1,8.12E+05
20210331,L+O,2,3,Bacteria,0,1,0.00E+00
20210331,L+O,3,3,Bacteria,1,1,1.00E+02
20210331,L+O,4,3,Bacteria,176,6,1.76E+09
20210331,L+O,5,3,Bacteria,47,1,4.70E+03
20210331,L+O,6,3,Bacteria,1,1,1.00E+02
20210331,2811,1,3,Bacteria,0,0,0.00E+00
20210331,2811,2,3,Bacteria,0,0,0.00E+00
20210331,2811,3,3,Bacteria,48,0,4.80E+02
20210331,2811,4,3,Bacteria,0,0,0.00E+00
20210331,2811,5,3,Bacteria,0,0,0.00E+00
20210331,2811,6,3,Bacteria,0,0,0.00E+00
20210331,cI26,1,3,Phage_606,11,6,5.50E+09
20210331,cI26,2,3,Phage_606,6,6,3.00E+09
20210331,cI26,3,3,Phage_606,6,6,3.00E+09
20210331,EvoC,1,3,Phage_606,3,5,1.50E+08
20210331,EvoC,2,3,Phage_606,7,2,3.50E+05
20210331,EvoC,3,3,Phage_606,5,5,2.50E+08
20210331,LamB Spec,1,3,Phage_606,6,5,3.00E+08
20210331,LamB Spec,2,3,Phage_606,24,5,1.20E+09
20210331,LamB Spec,3,3,Phage_606,14,6,7.00E+09
20210331,OmpF Spec,1,3,Phage_606,10,3,5.00E+06
20210331,OmpF Spec,2,3,Phage_606,7,3,3.50E+06
20210331,OmpF Spec,3,3,Phage_606,13,4,6.50E+07
20210331,L+O,1,3,Phage_606,0,0,0.00E+00
20210331,L+O,2,3,Phage_606,16,3,8.00E+06
20210331,L+O,3,3,Phage_606,12,3,6.00E+06
20210331,L+O,4,3,Phage_606,3,2,1.50E+05
20210331,L+O,5,3,Phage_606,12,3,6.00E+06
20210331,L+O,6,3,Phage_606,27,3,1.35E+07
20210331,2811,1,3,Phage_606,0,0,0.00E+00
20210331,2811,2,3,Phage_606,0,0,0.00E+00
20210331,2811,3,3,Phage_606,6,3,3.00E+06
20210331,2811,4,3,Phage_606,0,0,0.00E+00
20210331,2811,5,3,Phage_606,18,3,9.00E+06
20210331,2811,6,3,Phage_606,0,0,0.00E+00
