Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer,Status,Notes
20210518,L+O,5,0,Phage_Ominus,19,2,9.50E+05,Good,
20210518,L+O,6,0,Phage_Ominus,15,2,7.50E+05,Good,
20210518,L+O,7,0,Phage_Ominus,16,2,8.00E+05,Good,
20210518,L+O,8,0,Phage_Ominus,8,2,4.00E+05,Good,
20210518,L+O,9,0,Phage_Ominus,15,2,7.50E+05,REMOVE,
20210518,L+O,10,0,Phage_Ominus,18,2,9.00E+05,Good,
20210518,L+O,11,0,Phage_Ominus,16,2,8.00E+05,Good,
20210518,L+O,12,0,Phage_Ominus,16,2,8.00E+05,Good,
20210519,EvoC,1,1,Bacteria,664,0,6.64E+03,Good,
20210519,EvoC,2,1,Bacteria,9464,0,9.46E+04,Good,
20210519,EvoC,3,1,Bacteria,5488,0,5.49E+04,REMOVE,
20210519,EvoC,4,1,Bacteria,1288,0,1.29E+04,Good,
20210519,EvoC,5,1,Bacteria,10584,0,1.06E+05,Good,
20210519,EvoC,6,1,Bacteria,15000,0,1.50E+05,Good,lawn
20210519,EvoC,7,1,Bacteria,376,0,3.76E+03,Good,
20210519,EvoC,8,1,Bacteria,3920,0,3.92E+04,Good,
20210519,EvoC,9,1,Bacteria,592,0,5.92E+03,Good,
20210519,EvoC,10,1,Bacteria,2356,0,2.36E+04,REMOVE,
20210519,EvoC,11,1,Bacteria,2792,0,2.79E+04,Good,
20210519,EvoC,12,1,Bacteria,9,0,9.00E+01,Good,
20210519,L+O,1,1,Bacteria,376,0,3.76E+03,Good,
20210519,L+O,2,1,Bacteria,5936,0,5.94E+04,Good,
20210519,L+O,3,1,Bacteria,10192,0,1.02E+05,Good,
20210519,L+O,4,1,Bacteria,4592,0,4.59E+04,Good,
20210519,L+O,5,1,Bacteria,3024,0,3.02E+04,Good,
20210519,L+O,6,1,Bacteria,744,0,7.44E+03,Good,
20210519,L+O,7,1,Bacteria,7168,0,7.17E+04,Good,
20210519,L+O,8,1,Bacteria,4032,0,4.03E+04,Good,
20210519,L+O,9,1,Bacteria,9296,0,9.30E+04,REMOVE,
20210519,L+O,10,1,Bacteria,6216,0,6.22E+04,Good,
20210519,L+O,11,1,Bacteria,3696,0,3.70E+04,Good,
20210519,L+O,12,1,Bacteria,5208,0,5.21E+04,Good,
20210519,EvoC,1,1,Phage_606,22,2,1.10E+06,Good,
20210519,EvoC,2,1,Phage_606,17,2,8.50E+05,Good,
20210519,EvoC,3,1,Phage_606,1,0,5.00E+02,REMOVE,
20210519,EvoC,4,1,Phage_606,26,2,1.30E+06,Good,
20210519,EvoC,5,1,Phage_606,10,2,5.00E+05,Good,
20210519,EvoC,6,1,Phage_606,5,3,2.50E+06,Good,
20210519,EvoC,7,1,Phage_606,34,2,1.70E+06,Good,
20210519,EvoC,8,1,Phage_606,33,1,1.65E+05,Good,
20210519,EvoC,9,1,Phage_606,35,1,1.75E+05,Good,
20210519,EvoC,10,1,Phage_606,0,0,0.00E+00,REMOVE,
20210519,EvoC,11,1,Phage_606,26,2,1.30E+06,Good,
20210519,EvoC,12,1,Phage_606,0,0,0.00E+00,Good,
20210519,L+O,1,1,Phage_606,58,3,2.90E+07,Good,
20210519,L+O,2,1,Phage_606,11,2,5.50E+05,Good,
20210519,L+O,3,1,Phage_606,46,2,2.30E+06,Good,
20210519,L+O,4,1,Phage_606,59,2,2.95E+06,Good,
20210519,L+O,5,1,Phage_606,43,2,2.15E+06,Good,
20210519,L+O,6,1,Phage_606,29,2,1.45E+06,Good,
20210519,L+O,7,1,Phage_606,34,4,1.70E+08,Good,
20210519,L+O,8,1,Phage_606,16,3,8.00E+06,Good,
20210519,L+O,9,1,Phage_606,0,0,0.00E+00,REMOVE,
20210519,L+O,10,1,Phage_606,23,3,1.15E+07,Good,
20210519,L+O,11,1,Phage_606,17,5,8.50E+08,Good,
20210519,L+O,12,1,Phage_606,9,5,4.50E+08,Good,
20210519,EvoC,1,1,Phage_Lminus,13,2,6.50E+05,Good,
20210519,EvoC,2,1,Phage_Lminus,5,2,2.50E+05,Good,
20210519,EvoC,3,1,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210519,EvoC,4,1,Phage_Lminus,11,2,5.50E+05,Good,
20210519,EvoC,5,1,Phage_Lminus,25,2,1.25E+06,Good,
20210519,EvoC,6,1,Phage_Lminus,29,2,1.45E+06,Good,
20210519,EvoC,7,1,Phage_Lminus,17,2,8.50E+05,Good,
20210519,EvoC,8,1,Phage_Lminus,27,1,1.35E+05,Good,
20210519,EvoC,9,1,Phage_Lminus,26,1,1.30E+05,Good,
20210519,EvoC,10,1,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210519,EvoC,11,1,Phage_Lminus,22,2,1.10E+06,Good,
20210519,EvoC,12,1,Phage_Lminus,0,0,0.00E+00,Good,
20210519,L+O,1,1,Phage_Lminus,19,3,9.50E+06,Good,
20210519,L+O,2,1,Phage_Lminus,10,2,5.00E+05,Good,
20210519,L+O,3,1,Phage_Lminus,39,2,1.95E+06,Good,
20210519,L+O,4,1,Phage_Lminus,42,2,2.10E+06,Good,
20210519,L+O,5,1,Phage_Lminus,26,2,1.30E+06,Good,
20210519,L+O,6,1,Phage_Lminus,35,2,1.75E+06,Good,
20210519,L+O,7,1,Phage_Lminus,12,4,6.00E+07,Good,
20210519,L+O,8,1,Phage_Lminus,15,3,7.50E+06,Good,
20210519,L+O,9,1,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210519,L+O,10,1,Phage_Lminus,11,3,5.50E+06,Good,
20210519,L+O,11,1,Phage_Lminus,3,3,1.50E+06,Good,
20210519,L+O,12,1,Phage_Lminus,6,3,3.00E+06,Good,
20210519,EvoC,1,1,Phage_Ominus,11,2,5.50E+05,Good,
20210519,EvoC,2,1,Phage_Ominus,18,2,9.00E+05,Good,
20210519,EvoC,3,1,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210519,EvoC,4,1,Phage_Ominus,22,2,1.10E+06,Good,
20210519,EvoC,5,1,Phage_Ominus,42,2,2.10E+06,Good,
20210519,EvoC,6,1,Phage_Ominus,6,3,3.00E+06,Good,
20210519,EvoC,7,1,Phage_Ominus,27,2,1.35E+06,Good,
20210519,EvoC,8,1,Phage_Ominus,18,1,9.00E+04,Good,
20210519,EvoC,9,1,Phage_Ominus,18,1,9.00E+04,Good,
20210519,EvoC,10,1,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210519,EvoC,11,1,Phage_Ominus,27,2,1.35E+06,Good,
20210519,EvoC,12,1,Phage_Ominus,0,0,0.00E+00,Good,
20210519,L+O,1,1,Phage_Ominus,34,3,1.70E+07,Good,
20210519,L+O,2,1,Phage_Ominus,23,1,1.15E+05,Good,
20210519,L+O,3,1,Phage_Ominus,10,2,5.00E+05,Good,
20210519,L+O,4,1,Phage_Ominus,18,2,9.00E+05,Good,
20210519,L+O,5,1,Phage_Ominus,19,1,9.50E+04,Good,
20210519,L+O,6,1,Phage_Ominus,18,1,9.00E+04,Good,
20210519,L+O,7,1,Phage_Ominus,22,4,1.10E+08,Good,
20210519,L+O,8,1,Phage_Ominus,12,3,6.00E+06,Good,
20210519,L+O,9,1,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210519,L+O,10,1,Phage_Ominus,10,3,5.00E+06,Good,
20210519,L+O,11,1,Phage_Ominus,37,5,1.85E+09,Good,
20210519,L+O,12,1,Phage_Ominus,30,5,1.50E+09,Good,
20210520,EvoC,1,2,Bacteria,13,2,1.30E+04,Good,
20210520,EvoC,2,2,Bacteria,91,6,9.10E+08,Good,
20210520,EvoC,3,2,Bacteria,175,5,1.75E+08,REMOVE,
20210520,EvoC,4,2,Bacteria,11,2,1.10E+04,Good,
20210520,EvoC,5,2,Bacteria,92,6,9.20E+08,Good,
20210520,EvoC,6,2,Bacteria,1828,2,1.83E+06,Good,
20210520,EvoC,7,2,Bacteria,512,0,5.12E+03,Good,
20210520,EvoC,8,2,Bacteria,3,2,3.00E+03,Good,
20210520,EvoC,9,2,Bacteria,2,2,2.00E+03,Good,
20210520,EvoC,10,2,Bacteria,208,5,2.08E+08,REMOVE,
20210520,EvoC,11,2,Bacteria,52,6,5.20E+08,Good,
20210520,EvoC,12,2,Bacteria,0,0,0.00E+00,Good,
20210520,L+O,1,2,Bacteria,151,2,1.51E+05,Good,
20210520,L+O,2,2,Bacteria,1028,2,1.03E+06,Good,
20210520,L+O,3,2,Bacteria,215,4,2.15E+07,Good,
20210520,L+O,4,2,Bacteria,99,0,9.90E+02,Good,
20210520,L+O,5,2,Bacteria,580,0,5.80E+03,Good,
20210520,L+O,6,2,Bacteria,1,0,1.00E+01,Good,
20210520,L+O,7,2,Bacteria,31,2,3.10E+04,Good,
